Mc,eta,DL,z,m1,m2,M_tot,q,full_faith,snr,inspiral_t,Mc_full_bias,Mc_stat_err,Mc_max_lam,Mc_min_faith,Mc_max_lam_index_first
7.5268122783648925,0.14520536853791083,1000.0,0.19781979248496245,19.733362132599602,4.223033717099646,23.95639584969925,4.672792938568427,0.9958480180938912,229.00556730904435,310.6129852212131,0.0011774172713175262,4.655036432952702e-05,0.1728395061728395,0.9963483614624205,4
7.5268122783648925,0.14520536853791083,1000.0,0.19781979248496245,19.733362132599602,4.223033717099646,23.95639584969925,4.672792938568427,0.9958480180938912,229.00556730904435,310.6129852212131,0.0011774172713175262,4.655036432952702e-05,0.1728395061728395,0.9963483614624205,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
8.94915927153003,0.19376169635742552,1000.0,0.19781979248496245,17.65936533128093,6.297030518418317,23.95639584969925,2.804395703598495,0.9959563339784062,267.6808855624869,233.4533396042605,0.002100102844184733,6.484958953328077e-05,0.14814814814814814,0.996581402916226,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4.7086096418461585,0.06644342505714412,1000.0,0.19781979248496245,22.24195709973604,1.7144387499632046,23.956395849699245,12.973316836319407,0.9783402108489643,151.97515184563073,675.6130310310709,5.1441222059453885e-05,1.939956340699562e-05,0.027434842249657063,0.9985344575474732,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
8.94915927153003,0.19376169635742552,1000.0,0.19781979248496245,17.65936533128093,6.297030518418317,23.95639584969925,2.804395703598495,0.9959563339784062,267.6808855624869,233.4533396042605,0.002100102844184733,6.484958953328077e-05,0.14814814814814814,0.996581402916226,4
6.048685001135186,0.10086313886857924,1000.0,0.19781979248496245,21.229736836603198,2.726659013096051,23.95639584969925,7.785988909738068,0.9949060252704922,188.83529206067283,445.9788633521873,0.00047786504526677086,3.084334872254263e-05,0.2777777777777778,0.9977590277079217,4
3.5890594274520407,0.04226023891250192,1000.0,0.19781979248496245,22.897158416114237,1.059237433585002,23.95639584969924,21.616643908267594,0.9221331298482225,120.44734106847487,1060.6892227418425,-0.00030039430359587896,1.1809402791391307e-05,0.008230452674897118,0.9997726057050111,4
6.048685001135186,0.10086313886857924,1000.0,0.19781979248496245,21.229736836603198,2.726659013096051,23.95639584969925,7.785988909738068,0.9949060252704922,188.83529206067283,445.9788633521873,0.00047786504526677086,3.084334872254263e-05,0.2777777777777778,0.9977590277079217,4
10.427468959594302,0.24999368702810534,1000.0,0.19781979248496245,12.038389874220762,11.918005975478486,23.95639584969925,1.010101010101016,0.9970906481432742,308.33875786766845,181.55380294100985,0.0032885352277319917,8.743484320911808e-05,0.1728395061728395,0.9944800039067799,4
7.5268122783648925,0.14520536853791083,1000.0,0.19781979248496245,19.733362132599602,4.223033717099646,23.95639584969925,4.672792938568427,0.9958480180938912,229.00556730904435,310.6129852212131,0.0011774172713175262,4.655036432952702e-05,0.1728395061728395,0.9963483614624205,4
10.016693932921848,0.23379660761286927,1000.0,0.19781979248496245,15.027668556830696,8.928727292868556,23.956395849699252,1.6830694973552849,0.9974083549693216,296.9744550083889,193.94283943977806,0.0028989095434271486,8.076871092589768e-05,0.16666666666666666,0.9952121327286996,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
7.5268122783648925,0.14520536853791083,1000.0,0.19781979248496245,19.733362132599602,4.223033717099646,23.95639584969925,4.672792938568427,0.9958480180938912,229.00556730904435,310.6129852212131,0.0011774172713175262,4.655036432952702e-05,0.1728395061728395,0.9963483614624205,4
8.94915927153003,0.19376169635742552,1000.0,0.19781979248496245,17.65936533128093,6.297030518418317,23.95639584969925,2.804395703598495,0.9959563339784062,267.6808855624869,233.4533396042605,0.002100102844184733,6.484958953328077e-05,0.14814814814814814,0.996581402916226,4
6.048685001135186,0.10086313886857924,1000.0,0.19781979248496245,21.229736836603198,2.726659013096051,23.95639584969925,7.785988909738068,0.9949060252704922,188.83529206067283,445.9788633521873,0.00047786504526677086,3.084334872254263e-05,0.2777777777777778,0.9977590277079217,4
10.016693932921848,0.23379660761286927,1000.0,0.19781979248496245,15.027668556830696,8.928727292868556,23.956395849699252,1.6830694973552849,0.9974083549693216,296.9744550083889,193.94283943977806,0.0028989095434271486,8.076871092589768e-05,0.16666666666666666,0.9952121327286996,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
7.5268122783648925,0.14520536853791083,1000.0,0.19781979248496245,19.733362132599602,4.223033717099646,23.95639584969925,4.672792938568427,0.9958480180938912,229.00556730904435,310.6129852212131,0.0011774172713175262,4.655036432952702e-05,0.1728395061728395,0.9963483614624205,4
