Mc,eta,DL,M_tot,q,full_faith,snr,eta_full_bias,eta_stat_err,eta_max_lam,eta_min_faith
26.23222455999225,0.11541335939450517,1000.0,95.82558339879698,6.510920086085368,0.9982726588889679,541.0534505024361,0.004497240645258556,3.2584207721530845e-05,0.04862601580065353,0.9990542977429375
41.701415253874934,0.24990917667904367,1000.0,95.82558339879698,1.0388612126524073,0.9911128554957223,897.5520861315484,0.02694226849770688,9.511211882004211e-05,0.04132012400115335,0.9983873022084663
40.1176336763155,0.23429142511646717,1000.0,95.82558339879698,1.669042852891867,0.9931946784742222,857.7624049494017,0.02368047603883176,8.63665915195525e-05,0.03511191734215131,0.9989223323481765
41.3330287706364,0.24624056404425398,1000.0,95.82558339879698,1.279536036637243,0.9921129538769994,888.2423397191749,0.026153932739843424,9.302371272748633e-05,0.03808974636954072,0.9986601471462186
40.58810207751702,0.238888615394094,1000.0,95.82558339879698,1.5342796333426711,0.9930677818908548,869.5161307224581,0.024614627531805176,8.889935728367506e-05,0.03511191734215131,0.9989022363375748
41.67891293736561,0.24968446312914383,1000.0,95.82558339879697,1.0736707083992942,0.9911874403068168,896.982524016012,0.026893556228844102,9.498407192011546e-05,0.04132012400115335,0.9983897162953841
39.69591178977849,0.2302009879448017,1000.0,95.82558339879698,1.783258959755429,0.99310796197471,847.277627610666,0.022861305714168622,8.414554113861032e-05,0.03236689285040602,0.9990972999743252
41.171708049263415,0.24464087471222445,1000.0,95.82558339879698,1.3430510027082248,0.9924229896601793,884.1754805572946,0.02581680913153387,9.211728909073014e-05,0.03808974636954072,0.9986720202023031
41.68615067123524,0.2497567320605501,1000.0,95.82558339879698,1.0643970026691403,0.991163636801027,897.165707761649,0.026910342305894806,9.502545565718122e-05,0.04132012400115335,0.9983889423449819
37.65279743148513,0.21079467049059428,1000.0,95.82558339879698,2.311295089643481,0.9914513202715634,797.2257108666988,0.019136581601443135,7.404188553115808e-05,0.029836472402833374,0.9992773798512249
27.397344792356595,0.12408282491212215,1000.0,95.82558339879697,5.8893346201182775,0.9971662819162932,565.5447793801552,0.005540791628950683,3.5919544271788554e-05,0.044824468792893084,0.9990964291119723
30.29333518549756,0.14670425052990058,1000.0,95.82558339879698,4.5989963351909875,0.9931055573917216,627.8730671480339,0.008578362400872994,4.499113809492587e-05,0.03236689285040602,0.9994015113836632
38.7369224880445,0.22100702117868154,1000.0,95.82558339879697,2.032814269638095,0.9924774062334478,823.6259882888872,0.0210670209478628,7.926792029203848e-05,0.029836472402833374,0.9992546938223484
41.709520856099644,0.24999014098236055,1000.0,95.82558339879698,1.0126389996378307,0.9910855648906902,897.757277139323,0.026960591350087548,9.51589415973766e-05,0.04132012400115335,0.9983864268687106
41.68738572247987,0.2497690649098745,1000.0,95.82558339879698,1.0626915859710082,0.9911595572459396,897.1969675268099,0.026912807049925932,9.503264857347651e-05,0.04132012400115335,0.998388810036515
41.62146421604039,0.24911113316929118,1000.0,95.82558339879697,1.1268173085252078,0.9913698140451488,895.5289436098828,0.026770621358135023,9.465628518975775e-05,0.04132012400115335,0.99839576785202
33.92275519705308,0.17715336680864124,1000.0,95.82558339879698,3.3459583543496927,0.989723855882536,709.2798413189252,0.013256441826326607,5.809166938690856e-05,0.02750387840931946,0.999465196924305
33.459968910580386,0.17314372973722134,1000.0,95.82558339879698,3.488927411415087,0.9898952947884283,698.6791270535548,0.012604439960830669,5.630238535516252e-05,0.029836472402833374,0.9993846761315506
39.66605701610311,0.22991250839233973,1000.0,95.82558339879697,1.7911937141270133,0.9930960965125074,846.5372723685316,0.02280407853450593,8.399034138664318e-05,0.03236689285040602,0.9990981748676616
35.62665910922397,0.19223068366871446,1000.0,95.82558339879697,2.8513751779074763,0.9898915524270212,748.8956405002237,0.01579975345022859,6.501918142484098e-05,0.02750387840931946,0.9994253594986824
39.7624218839304,0.23084417923193834,1000.0,95.825583398797,1.7655215602448977,0.9931319505095111,848.9278899505715,0.02298983399700638,8.449196553101902e-05,0.03236689285040602,0.9990953260635451
41.62510775062206,0.24914747946041127,1000.0,95.82558339879697,1.1240349511841898,0.9913586070011448,895.6211108990657,0.026777601915037565,9.467826231484606e-05,0.04132012400115335,0.9983953891708999
33.02541081546891,0.1694121657572672,1000.0,95.82558339879698,3.627058281162575,0.9901371666188324,688.7855220311241,0.012008621920814332,5.4655562756949626e-05,0.029836472402833374,0.9993982337229891
20.61002885543403,0.07720792482263733,1000.0,95.82558339879697,10.859956911555132,0.9897000564311667,426.7994722886662,0.001059030592671855,1.8891877623882973e-05,0.003593813663804626,0.9999976511494529
15.577549187901305,0.048420518106644744,1000.0,95.825583398797,18.598634508900176,0.9971382833034316,328.5418274552004,6.473841742806038e-05,9.921633937598757e-06,0.31622776601683794,0.9940682272121363
34.493801324393516,0.18215145418124234,1000.0,95.82558339879697,3.1749737195912973,0.9896408108197102,722.4532462331313,0.014082870111949773,6.0351943206890235e-05,0.002032735201671712,0.9999970005252705
39.59651470174736,0.22924109881376256,1000.0,95.82558339879698,1.8096161613144452,0.9930661466851065,844.8137077847394,0.02267238085149317,8.362816840180386e-05,0.03236689285040602,0.9991001898854875
30.341637947246966,0.14709432456652954,1000.0,95.82558339879697,4.580019128796486,0.9930377187860452,628.9314288092576,0.00863522127478571,4.515204531474122e-05,0.03236689285040602,0.9993994623796948
33.504970014020785,0.17353201219763129,1000.0,95.825583398797,3.4748426970734467,0.9898744392619301,699.7070041229348,0.012667705044983872,5.6474251990234846e-05,0.029836472402833374,0.9993832938225078
