Mc,eta,DL,z,m1,m2,M_tot,q,snr,inspiral_t,Mc_full_bias,Mc_stat_err,full_inner_prod,lam_0,lam_1,lam_2,lam_3,lam_4,lam_5,lam_6,lam_7,lam_8,lam_9,lam_10,lam_11,lam_12,lam_13,lam_14,lam_15,lam_16,lam_17,lam_18,lam_19,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6,bias_7,bias_8,bias_9,bias_10,bias_11,bias_12,bias_13,bias_14,bias_15,bias_16,bias_17,bias_18,bias_19,inner_0,inner_1,inner_2,inner_3,inner_4,inner_5,inner_6,inner_7,inner_8,inner_9,inner_10,inner_11,inner_12,inner_13,inner_14,inner_15,inner_16,inner_17,inner_18,inner_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.178118854904081,0.04226023891250192,1000.0,0.19781979248496245,45.794316832228475,2.118474867170004,47.91279169939848,21.616643908267594,197.29523362062653,329.56266641504516,-0.00128821399541257,5.44549911746375e-05,0.9299453982063874,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,1.2913652451594836e-08,6.75828473356185e-05,0.00013038127967366438,0.0001826598180898367,0.00021922058455410912,0.00023570748152131754,0.00022884629502022483,0.0001966187542978234,0.00013836121143328672,5.4784894051185945e-05,5.2078918105071675e-05,0.00017899958555994341,0.0003217197397884998,0.0004751628020204027,0.0006336571236755552,0.0007911592626529034,0.0009414615635840468,0.0010783734062413657,0.0011958707190258076,0.001288213995412622,0.9999999999925411,0.9997932705193558,0.9991734111893742,0.9981414108686935,0.9966992287617975,0.9948497860019583,0.9925969532389849,0.9899455343041448,0.9869012460542123,0.9834706945178828,0.9796613474881705,0.9754815037237322,0.9709402589401779,0.9660474687892423,0.9608137090391058,0.9552502331830389,0.9493689277158647,0.9431822653283494,0.9367032562785615,0.9299453982063809
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.033387865843697,0.23379660761286927,1000.0,0.19781979248496245,30.05533711366139,17.857454585737113,47.912791699398504,1.6830694973552849,508.92192566549386,60.77596740617005,0.03331503275656206,0.0003519793009880286,0.8444488664587722,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,1.9235453834516687e-08,0.00015986752997891075,0.0005122695783495307,0.0011346646796102852,0.002032890310277015,0.00312371356487106,0.004235695763933643,0.005128809371274728,0.0055296307337847385,0.005175954101560035,0.003862869630808124,0.0014820461097620682,0.0019528075989814486,0.006298817935346507,0.011296381697572203,0.016598940544829875,0.02181492524985846,0.026554776584760992,0.0304753741621879,0.03331503275655828,0.9999999999571146,0.9988152688175406,0.9953075798368967,0.9896130558590371,0.9819523385035648,0.9726197479341397,0.9619682720418723,0.9503907658849599,0.9382980347422248,0.9260948639262823,0.91415550547193,0.9028005485389056,0.8922773577663958,0.8827462222219578,0.8742739214539015,0.8668355910119606,0.8603246935442014,0.8545698087409511,0.8493560992142366,0.8444488664587554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.854937919188604,0.24999368702810534,1000.0,0.19781979248496245,24.076779748441524,23.836011950956973,47.9127916993985,1.010101010101016,530.2873956021776,56.93463122122017,0.0373121712178792,0.0003805172047619684,0.8427337808732396,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,7.437629559586964e-09,0.00010519957389632656,0.0004416601207833694,0.001114587780509553,0.0021400317431980245,0.0034224175936546364,0.004755644466166525,0.005848218709832473,0.006368128500648492,0.005999269198387114,0.0044989558849023795,0.001745831287350185,0.0022306924038900944,0.00724482287165646,0.01297352275202765,0.018996783773639378,0.024851715732480364,0.030090904431856996,0.03433514413785561,0.03731217121787539,0.9999999999535439,0.9987170604317859,0.9949228013098533,0.9887762127011968,0.9805340515076975,0.9705375696899992,0.9591941024158174,0.9469539869800598,0.9342836870039039,0.9216365406006011,0.9094231713928462,0.8979841590905799,0.8875678629470752,0.8783161243971461,0.8702598309512508,0.8633250632957581,0.8573490283721634,0.8521035772158206,0.847323161930668,0.8427337808732223
17.89831854306006,0.19376169635742552,1000.0,0.19781979248496245,35.31873066256186,12.594061036836633,47.9127916993985,2.804395703598495,454.53405858326573,73.02711798689549,0.024078684903480946,0.00028415686433487064,0.8483245752925234,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,2.847188571745427e-08,0.0001879022008506783,0.000496100659185237,0.000968633623753528,0.0016042031318261457,0.002344909620066154,0.0030765147714145492,0.003640633553813161,0.0038569780635005248,0.003551882856257401,0.0025881538876623388,0.0008910121924586845,0.0015344146471625159,0.004597107472055266,0.008126717659072122,0.011891562534965053,0.015625040380902726,0.019056142755666874,0.021939240570116716,0.024078684903477934,0.9999999999624595,0.9989625134323066,0.9958866056958988,0.990879790488237,0.9841169409003351,0.9758319499807405,0.9663062705247368,0.9558546780309918,0.9448087978648773,0.9334991823131852,0.922236990387966,0.911296564326392,0.9009003433781034,0.8912075344832642,0.882307718018072,0.87422009995505,0.866898488431678,0.8602413879051322,0.8541060061862956,0.8483245752925042
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.89831854306006,0.19376169635742552,1000.0,0.19781979248496245,35.31873066256186,12.594061036836633,47.9127916993985,2.804395703598495,454.53405858326573,73.02711798689549,0.024078684903480946,0.00028415686433487064,0.8483245752925234,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,2.847188571745427e-08,0.0001879022008506783,0.000496100659185237,0.000968633623753528,0.0016042031318261457,0.002344909620066154,0.0030765147714145492,0.003640633553813161,0.0038569780635005248,0.003551882856257401,0.0025881538876623388,0.0008910121924586845,0.0015344146471625159,0.004597107472055266,0.008126717659072122,0.011891562534965053,0.015625040380902726,0.019056142755666874,0.021939240570116716,0.024078684903477934,0.9999999999624595,0.9989625134323066,0.9958866056958988,0.990879790488237,0.9841169409003351,0.9758319499807405,0.9663062705247368,0.9558546780309918,0.9448087978648773,0.9334991823131852,0.922236990387966,0.911296564326392,0.9009003433781034,0.8912075344832642,0.882307718018072,0.87422009995505,0.866898488431678,0.8602413879051322,0.8541060061862956,0.8483245752925042
