Mc,eta,DL,z,m1,m2,M_tot,q,full_faith,snr,inspiral_t,eta_full_bias,eta_stat_err,eta_max_lam,eta_min_faith,eta_max_lam_index_first,full_inner_prod,eta_min_inner_prod
1.8704047906800447,0.00980296049406921,675.893466765468,0.13856070695119663,29.702970297029697,0.29702970297029724,29.999999999999993,99.99999999999991,0.47766935993630477,99.99999999999997,3127.5710174907867,-6.034525153270076e-05,5.719775951836641e-07,0.007435486222481412,0.999889301964063,3,0.2325644609480353,0.9998787742395073
2.520876053232655,0.016120693840209935,869.0351813326307,0.17430250402350672,29.50832090711434,0.491679092885659,29.999999999999996,60.01540706953867,0.6307991088447273,100.00000000000001,1902.7263449813693,0.00010455180715319458,1.5071108853264223e-06,0.006998104679982505,0.9999471703212964,3,0.3281120441553244,0.9999481853861585
3.3801355009223237,0.026283796300990113,1113.935794714468,0.21785663024336036,29.189594191840335,0.8104058081596682,30.0,36.01849085722412,0.8325401407705685,99.99999999999999,1167.8489634259388,-0.0007980451124507543,3.860966883659132e-06,0.0024784954074938037,0.9999864010133764,3,0.6150991467134725,0.9999865265523856
4.494490051804388,0.042260238912501906,1420.3054467156044,0.2700183561758049,28.67354324887109,1.3264567511289058,29.999999999999996,21.616643908267598,0.946159148171952,100.00000000000001,727.1727172084644,-3.3623672130278504e-05,9.513053999163804e-06,0.01662049861495845,0.9999637762079814,3,0.8466672604615473,0.9999537982497142
5.89647500156657,0.06644342505714412,1794.805723911963,0.3309058926426251,27.85305090041155,2.146949099588444,29.999999999999993,12.973316836319407,0.9862736798572148,100.00000000000001,463.30444656264166,0.0017860613338946951,2.2236876784415405e-05,0.027700831024930747,0.9999377322356271,3,0.9202514836225546,0.9999306304902289
7.5746181175384795,0.10086313886857924,2234.7984104058005,0.39918366275925365,26.585472585021236,3.414527414978762,29.999999999999996,7.785988909738069,0.9963720377044781,100.00000000000001,305.9511700368973,0.004541292823234677,4.832574211997762e-05,0.04709141274238227,0.9997629277833524,3,0.9258403440697764,0.9997608869764701
9.425640224332055,0.1452053685379108,2717.4307761395235,0.4708316077222792,24.711599678522596,5.288400321477398,29.999999999999993,4.6727929385684295,0.9952225662325679,99.99999999999997,213.19432451726848,0.010150724766024855,9.467605192209088e-05,0.060941828254847646,0.9993895458696791,3,0.9152641675780138,0.9994002039436164
11.206810065683204,0.19376169635742557,3185.6303814514918,0.5377074526126364,22.114384954324365,7.8856150456756255,29.99999999999999,2.8043957035984937,0.9948365821486712,100.0,160.3226994938101,0.018290100031885803,0.00016067662657019168,0.07756232686980609,0.9987081361141429,3,0.9081326162535601,0.9987370066388587
12.543657229283422,0.23379660761286927,3542.686185576474,0.5872525380554866,18.818776394136954,11.18122360586304,29.999999999999993,1.6830694973552849,0.9966994626178188,100.0,133.2495131065879,0.025820347446359193,0.0002266811715094707,0.0997229916897507,0.9976042292474802,3,0.906576406132595,0.9976581721722104
13.058060601038042,0.24999368702810534,3681.720121670619,0.6062434054141405,15.07537688442215,14.924623115577845,29.999999999999996,1.0101010101010157,0.9962888608987078,99.99999999999999,124.76044434623311,0.029517249882994534,0.0002564049081348476,0.11634349030470913,0.9964986209840098,3,0.9051065217353866,0.9965762278544397
