Mc,eta,DL,z,m1,m2,M_tot,q,snr,DL_stat_err,z_stat_err,inspiral_t,Mc_full_bias,Mc_stat_err,full_inner_prod,lam_0,lam_1,bias_0,bias_1,inner_0,inner_1
21.242763600180805,0.24317198128716422,27533.81169991371,3.145307151323549,28.910599696819766,20.710101393041484,49.62070108986125,1.3959661108435528,19.321627693699423,19193.61920541844,1.7695282417348546,55.138636561018394,0.04333550025902,0.01375531410393382,0.8377290901450065,0.0,1.0,4.3004068040348095e-15,0.043335500259015225,1.0,0.8377290901449908
7.037373650944642,0.24617280804898795,5926.306515521187,0.8952138047160979,9.168493966109557,7.149492283821678,16.317986249931234,1.282397910528081,23.125798692133625,700.8671740315256,0.08512410096671408,349.2084158928476,0.0007867456174997494,0.0004597435365933106,0.9531890334933665,0.0,1.0,6.738148583998993e-16,0.0007867456175005751,1.0,0.9531890334934017
11.431365855147623,0.22555727302808318,12941.36034589551,1.68812502103811,18.334708953572218,9.599991782760917,27.934700736333134,1.9098671507715848,20.79101607738836,2680.6898727072494,0.2806937907042053,155.50017304268775,0.005259743782240717,0.0020851910135090447,0.9140336670198803,0.0,1.0,1.5519687978331944e-16,0.005259743782240804,1.0000000000000002,0.9140336670198836
12.351778469970814,0.2256785804673026,16768.200136932515,2.086488392932361,19.792843209798008,10.381323754071179,30.17416696386919,1.906581827007945,21.990431793266378,7126.984792900262,0.7086128815069102,136.63466209987425,0.006121897617387545,0.0021119226430600276,0.9062534661116256,0.0,1.0,4.1901873418292734e-16,0.006121897617386934,1.0,0.906253466111622
9.889631098382415,0.2323727167975626,14032.77024547734,1.8034206280056186,15.021502249886598,8.71785797496073,23.739360224847328,1.7230726048796712,12.422754913589575,4204.92121316474,0.43219859882578904,198.09666444536364,0.002764261662815945,0.002031026019616035,0.9284171122343969,0.0,1.0,5.169907596162083e-16,0.002764261662816545,1.0,0.9284171122344107
13.448114215213057,0.24861279909965175,17328.597832199812,2.1435787061365272,16.65404751163183,14.344924997875962,30.998972509507794,1.1609713898188927,23.434064989901472,1887.6916273271083,0.1903774154560245,118.76330180598993,0.008464614513163153,0.0027694450444493844,0.9018342101353995,0.0,1.0,4.449547106070168e-16,0.008464614513162674,1.0,0.9018342101353966
24.368362559102607,0.2460731240843576,15255.386696729362,1.9309014840054823,31.800765689230985,24.717371308051696,56.51813699728268,1.2865755542083825,59.679931485249206,2064.1082483857913,0.21175208676579382,43.75353890544173,0.06409286030725789,0.005332811020471251,0.8134242675103668,0.0,1.0,5.19116037812733e-15,0.06409286030725292,1.0,0.8134242675103541
22.33734474042428,0.2332146139924144,18190.25696318359,2.230833590005208,33.683261094329666,19.819733464346555,53.50299455867622,1.699481032624481,65.88465873498382,12308.7108169171,1.195500149242195,50.573136193745555,0.057172226585493036,0.005193844241253916,0.8251654508193812,0.0,1.0,4.662492813692077e-15,0.05717222658548504,0.9999999999999998,0.8251654508193654
12.376367562091437,0.21904113932502017,15109.025970155464,1.9157270372097894,20.806220365323778,9.974429518488202,30.78064988381198,2.0859559262771072,22.054263355964036,1028.6443865422634,0.10618401356987395,136.10422749196903,0.007893834237881425,0.00300375270286351,0.9043240418851548,0.0,1.0,1.4988862427519007e-16,0.007893834237881453,1.0,0.9043240418851559
9.161470989659888,0.2296981719306725,9036.576083080214,1.260744242659853,14.227655178135388,7.91709001199696,22.144745190132348,1.7970813968990973,40.752680683713336,1386.1652619504846,0.1548205544732928,224.98525091249888,0.0025365193474439773,0.0006883764400130328,0.9340616871382481,0.0,1.0,4.938992158227421e-16,0.002536519347444477,1.0,0.9340616871382611
10.321163907746737,0.24986221132219122,8916.199040150565,1.2471041931688964,12.138255795938447,11.58139699292356,23.719652788862007,1.0480821789767796,33.40535768744032,316.7049757552294,0.03581500222884415,184.67817194905015,0.003436184210888567,0.0009453511983621975,0.9270021561598707,0.0,1.0,4.704282055890987e-16,0.0034361842108890693,0.9999999999999998,0.9270021561598801
61.434681375138844,0.24878358338789755,58530.64301839803,5.960998268579267,75.71372893120652,65.83976024167315,141.55348917287967,1.149969693894536,13.756285855874184,17254.954693707637,1.493328648911322,8.817330370421379,1.4649303457635567,0.4689090708539723,0.5313047911110963,0.0,1.0,2.543824194728823e-14,1.4649303457635536,1.0,0.531304791111091
14.702300908958161,0.23656730619834038,15828.322889456262,1.9900897715806176,21.50415209088213,13.410882157169226,34.915034248051356,1.6034852770208246,27.335885684311982,646.4208909187124,0.06638976869565894,102.20310842714774,0.013643123618305792,0.0037455047404233,0.8893527810946684,0.0,1.0,1.6398957823582701e-15,0.013643123618303951,1.0,0.8893527810946564
17.409432688567858,0.24857737432713553,18032.643865991602,2.2149190859026424,21.580524818614286,18.55303300152225,40.13355782013654,1.1631804253699993,40.86515701643844,3979.487553421574,0.39623016422073754,77.09930050663444,0.020204397631952573,0.0028699859623921515,0.8700341526721675,0.0,1.0,3.38563810319468e-15,0.02020439763194968,0.9999999999999999,0.8700341526721477
11.61072378672937,0.24999333735279575,9642.682090598799,1.3289296346726311,13.40628602532343,13.268579145750106,26.674865171073538,1.0103784194268781,51.08734733350653,683.6560000054778,0.07599228114676948,151.7760839444026,0.0052078561736697455,0.0008746732918660408,0.9166896249251829,0.0,1.0,4.943027906193549e-16,0.005207856173670117,1.0,0.9166896249251902
