Mc,eta,DL,z,m1,m2,M_tot,q,snr,DL_stat_err,z_stat_err,inspiral_t,Mc_full_bias,Mc_stat_err,full_inner_prod,lam_0,lam_1,lam_2,lam_3,lam_4,lam_5,lam_6,lam_7,lam_8,lam_9,lam_10,lam_11,lam_12,lam_13,lam_14,lam_15,lam_16,lam_17,lam_18,lam_19,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6,bias_7,bias_8,bias_9,bias_10,bias_11,bias_12,bias_13,bias_14,bias_15,bias_16,bias_17,bias_18,bias_19,inner_0,inner_1,inner_2,inner_3,inner_4,inner_5,inner_6,inner_7,inner_8,inner_9,inner_10,inner_11,inner_12,inner_13,inner_14,inner_15,inner_16,inner_17,inner_18,inner_19
27.586316872621747,0.24999975070469127,40389.11572801325,4.341821307017852,31.720019454654746,31.65673208823234,63.376751542887085,1.001999175601765,20.08311018880057,11818.64218987066,1.0617598849371106,35.48644061519847,0.09777980186411528,0.023494574092470185,0.7890380017518577,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,6.642675505442312e-15,0.000659834043173102,0.0025590552687909662,0.006153433682053011,0.011427234011169296,0.017839324259657896,0.024380972912505516,0.029735534178575107,0.03251011723235292,0.03149527163073823,0.025903364250166372,0.015540576643723686,0.0008803099171284801,0.016975427716478392,0.03643913232756968,0.05565889660973883,0.07277751092622525,0.08618409769802274,0.09471602234192056,0.0977798018641099,1.0,0.9982480532207446,0.9930608741130911,0.9846436637168162,0.9733305663569345,0.9595705569762696,0.9439072103796371,0.9269522503071214,0.9093531205751137,0.8917554733532806,0.8747624529792708,0.8588938620016353,0.8445494373572598,0.8319810781043774,0.8212784750861954,0.812370968936297,0.8050458558154937,0.7989804941865597,0.793783332561205,0.7890380017518462
38.035432141814816,0.24900067592758338,56204.85855485216,5.756699172550999,46.56535158199752,41.02737379430647,87.59272537630399,1.1349825074219002,17.76498359302286,40057.730025484016,3.430584581273049,20.482959434735864,0.3358830328812932,0.08840559453310372,0.706042998898799,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,1.1886532835196708e-14,0.002549829411490845,0.009688980667403757,0.022476856222898967,0.040389177395430576,0.061254776990692594,0.08153585991086576,0.09689990105601076,0.10297616325071779,0.09615608707614842,0.0742903691708563,0.03715682789467012,0.013382747441263554,0.07356074941203428,0.13818072437909512,0.2013058175120821,0.2570383318399543,0.30026043809423353,0.327220414676038,0.33588303288128474,1.0,0.997621625893291,0.9905676279459833,0.9790832423554239,0.9635725636575531,0.9445869014833109,0.9228073774590061,0.8990208650903185,0.87408827909074,0.8489044368220797,0.8243494924830239,0.8012335213798639,0.7802382371232189,0.7618626133887187,0.7463812831603465,0.7338245836790873,0.7239860651356329,0.716457652469182,0.7106864592118641,0.7060429988987897
29.495309312721066,0.23334995723599866,28036.803990728793,3.1932346877494915,44.4245626537131,26.198788186787603,70.6233508405007,1.6956724233572376,20.168277182899924,3693.2005425843645,0.34876789694166277,31.54443749666252,0.13108668438272114,0.03158350268849755,0.7661994341789979,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,6.39326937285889e-15,0.0003404499350184581,0.0007531685659935561,0.0013368129477771273,0.0019328369730392536,0.0021155666286080677,0.0012473030721721345,0.0014111426126469095,0.006555042829211544,0.014682964007831062,0.02596571873527609,0.040162302717622,0.05659949518823401,0.0742202585134599,0.09169377985426838,0.10756926495332045,0.12044836880958154,0.1291486533923652,0.13283298779358488,0.1310866843827145,1.0,0.9982008724290315,0.9928662009387601,0.9841848916556241,0.972466480883083,0.9581298962036598,0.9416872331184584,0.923722299428643,0.9048638490108251,0.8857538296113705,0.8670116673590353,0.8491965957688493,0.832771164782602,0.8180700160523168,0.8052783385571326,0.7944237287611291,0.7853833778410503,0.7779059656038502,0.7716451045363921,0.7661994341789881
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.815381907463475,0.24997729036236246,65626.18423992973,6.579518538634441,43.85486607634012,43.02680331401945,86.88166939035958,1.0192452773281175,9.266220142059588,12060.853040489812,1.0373037925106532,20.695381625927354,0.3142753722515652,0.15607726594306678,0.7082213356653019,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,1.2101013528444902e-14,0.002490146081864597,0.009510777548994653,0.022079913657979677,0.03969421633759729,0.06026157813980526,0.08036511707372385,0.09581086028702468,0.10235732141264187,0.09649140580271243,0.07610758119061223,0.04096678327358361,0.0071463675989225095,0.06459341888506509,0.12634541706544788,0.1866553952514166,0.23982235579067224,0.2809185918502497,0.30636539308471855,0.31427537225155694,1.0,0.9976328677673031,0.9906126119350399,0.9791844028679838,0.9637521014728,0.9448665218717064,0.9232078912914674,0.8995616139913553,0.8747863600888938,0.849773733349934,0.8253995716983716,0.8024685297836165,0.7816560000969782,0.7634541857418587,0.7481311675853302,0.7357117131428256,0.72598546118631,0.7185424967086546,0.7128302271451509,0.7082213356652929
20.93347598798103,0.24993968332809566,29872.172791678127,3.3672219717446636,24.423289781551006,23.67617229673153,48.099462078282535,1.0315556702095219,27.81801356917241,8580.971510420311,0.7976567787993649,56.57506524278866,0.04183547662610965,0.00914329664763503,0.8420976431012807,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,4.632734728272167e-15,0.0001904231614609092,0.0008112900362504394,0.00208659263602079,0.004060554272898434,0.006566938478167791,0.009242173534882811,0.011580284278120356,0.013019451254384279,0.013043901346018835,0.011281940876531754,0.00758178565320089,0.0020511914163514056,0.004946172627082357,0.012836538522981944,0.020915262422335545,0.028444854565994604,0.034754346023119054,0.03932305112598844,0.041835476626104984,1.0,0.9987105833007808,0.9948962321544861,0.9887169134755457,0.98043098956694,0.9703818701420831,0.9589794886041179,0.9466770718412421,0.9339440795441835,0.9212367389944507,0.908968229526732,0.8974811374071243,0.8870251048092402,0.8777424298785287,0.8696636225020798,0.8627136442592634,0.8567280221930036,0.8514766050750661,0.8466917775265534,0.8420976431012638
33.250372774655965,0.24990533013466526,48077.301283088724,5.035751423422503,38.94675412857782,37.4599043843873,76.40665851296512,1.0396917655991194,27.82708421457758,30247.45684944088,2.6354899153645253,25.81201706411407,0.21361093549503707,0.03914441669451548,0.7440640796524535,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,9.489109679482698e-15,0.0015245571900474042,0.006013153407223526,0.01429483888533778,0.02618617545021107,0.04040885064560662,0.054734801511132414,0.06633358780778797,0.0722579097143019,0.06997711556923747,0.05786003368612436,0.035518733558836946,0.003951467107482731,0.03453943535219128,0.07663795976518073,0.11845974883976806,0.15607357163751456,0.1860100935487492,0.20567576770810092,0.2136109354950304,1.0,0.9978945183361535,0.9916547798637955,0.9815114363949248,0.967842591990716,0.9511607427102643,0.9320935849100457,0.9113580927647436,0.8897273967410293,0.867990484793915,0.8469057485736627,0.8271509612154961,0.8092742069496357,0.7936520246939832,0.7804617144736675,0.7696735889074453,0.7610657628926476,0.7542596771226359,0.7487704796987812,0.7440640796524427
52.177164073801265,0.2497185752288553,24036.139440581926,2.808791129352369,61.988633416641946,57.96404828777297,119.95268170441491,1.0694324369631363,46.15391994667538,2606.9319131668594,0.25136818277934303,11.804541707254252,0.8448129130771012,0.08033281732274881,0.5988362340497241,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,2.091479112708202e-14,0.0028349092972831946,0.007830746456072069,0.013674043761366272,0.017726109909378063,0.01635286529816571,0.005502250080116233,0.018584268004531723,0.05866285413065375,0.11591364114119584,0.18960508266552334,0.2770512172633124,0.37386087894164577,0.47442551384924814,0.5725533944979593,0.6621393578215949,0.7377629231949876,0.7951312808440185,0.8313208180044137,0.8448129130770905,1.0,0.996944284506716,0.9878637803851156,0.9730240989584025,0.9528680991000803,0.9280085886757022,0.8992171806841983,0.8674083189412288,0.8336168952115364,0.7989671761471109,0.7646301751509657,0.7317666716510401,0.7014546753853917,0.6746042081945484,0.651868986986413,0.6335720091089999,0.6196657183806765,0.6097426616815153,0.603098911561882,0.5988362340497185
23.7581514973443,0.2499973499820912,40094.86015010916,4.314989615157333,27.379976875504664,27.202269356202816,54.58224623170748,1.0065328196326138,21.10018337893212,21800.945547169587,1.9402045152471574,45.70159180351711,0.06148633468468445,0.016179210745587386,0.8195368954650789,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,5.289684467048124e-15,4.03401259263525e-05,9.361468044488674e-05,1.7064081231504824e-05,0.00017068633918876364,0.0002770275433708891,3.53336598424292e-05,0.0011827534778227067,0.003571598490933914,0.007503358399900795,0.013092730114355744,0.020215004385314206,0.02849347142729286,0.03732995871420741,0.04597354009668608,0.053615484870193075,0.059493965500271195,0.0629907188868345,0.06370390729151332,0.06148633468467901,1.0000000000000002,0.9985131484522061,0.9941130517584863,0.9869796748025561,0.9774047353319945,0.9657778662341348,0.9525671366932866,0.9382941740250881,0.9235045290870598,0.9087345462123833,0.8944767944367776,0.8811469493064276,0.8690556317240489,0.8583888023856828,0.849199635901464,0.8414133374854863,0.8348444012603846,0.8292238597780285,0.8242326752929267,0.8195368954650641
25.900303413569212,0.24987699858191534,20323.497466429748,2.444361141083975,30.420544069972433,29.10030026541029,59.52084433538272,1.045368734773209,23.774861600963778,1043.7757384179763,0.10331057790088938,39.49116857299889,0.10915325605411128,0.026966727457789316,0.8024252152811826,0.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.894736842105263,0.9473684210526315,1.0,5.073847569603333e-15,0.0005776951725181556,0.0024540353115028446,0.006133585677518594,0.011634906339405171,0.018427712953096642,0.025484235768167496,0.031436293569623186,0.0348090837350466,0.03428800112040681,0.028968688707770807,0.018544014804719844,0.0033938932926833587,0.015437736829233328,0.03637356619095927,0.057516683839796134,0.07690883643868157,0.0927881607522979,0.10380359929823393,0.1091532560541065,1.0,0.9983623621572741,0.993514771580499,0.9856521154688755,0.9750911093997038,0.9622561870650256,0.9476594333155764,0.9318746156823917,0.91550574925226,0.8991512813252078,0.8833658964405361,0.8686229902961099,0.8552817602269197,0.8435632133299739,0.8335388360691305,0.825134082878934,0.8181465089058761,0.8122759310638609,0.807162174219959,0.8024252152811695
