index,Mc,eta,chi1x,chi2x,chi1y,chi2y,chi1z,chi2z,DL,tc,phic,iota,ra,dec,psi,gmst0,hybr,Mc_err,eta_err,DL_err,chi1z_err,chi2z_err,iota_err,ra_err,dec_err,psi_err,Mc_bias,eta_bias,DL_bias,chi1z_bias,chi2z_bias,iota_bias,ra_bias,dec_bias,psi_bias,snr,faith,inner_prod,z,z_err,z_bias
1,52.679891371871136,0.2448266033686936,0.0,0.0,0.0,0.0,-0.18088826680208875,0.14351391905407146,137088.57157211093,0,0,1.5263756693584232,3.8167123836642887,0.5753601551391361,5.652770797116985,0,0.96,0.6517112,0.03698403,40064.168,5.4515376,7.875586,0.24251677,0.16303913,0.061025426,0.19175604,0.03743001621868073,-0.004022835958599018,1364.1324297913604,0.13546044592373846,-0.1278648227268203,0.00024379063686582846,0.0033754469455974157,0.00044090095879077614,0.011443930365651485,6.2694647847529446,0.9990914242575654,0.9991014621275021,12.558549899487133,3.2365789303712607,12.669743920394948
817,22.031644398784643,0.2314792706274507,0.0,0.0,0.0,0.0,-0.1261958100126746,-0.32239953937411103,48577.17311782491,0,0,2.6079716637035677,4.388289980594996,-0.7642246327923952,1.3779048323520016,0,0.96,0.048222173,0.032944534,36281.27,1.0626421,2.0677638,1.3925493,0.07597217,0.17538159,0.28356266,0.003668549985829065,-0.004970015929681273,163.7869341045718,0.04699292782825368,-0.044322169614615554,-0.010280059505119324,0.0023022204521834064,-0.005452094705996314,0.037980375544031234,15.35257581628542,0.9988645752565416,0.9989089422312739,5.080436548673678,3.1461517966398755,5.095067440852462
795,12.142390816651522,0.23840576089657914,0.0,0.0,0.0,0.0,0.0376823173449503,-0.018003151174264247,16435.46256306761,0,0,1.1064066519688582,3.9398408359541373,-0.06434130585919995,3.378645694050259,0,0.96,0.0068995124,0.042392377,2787.0776,1.292494,1.959431,0.16101214,0.008147955,0.020858502,0.12283601,0.004366709565974506,-0.0066122288276736566,2674.6314809642554,-0.07100400889626021,0.18747023047185046,-0.12319428023362652,2.8939195065000982e-05,0.0006909494109592309,0.16528949199490384,20.161125441102264,0.9996168729031369,0.9996317480601198,2.052456587807623,0.28212533559177144,2.3233202013786873
64,14.139426208264712,0.24596391086813818,0.0,0.0,0.0,0.0,-0.13353160498701488,-0.023777684706628534,22650.7726115287,0,0,1.0121303336522018,2.7068952241461477,-0.21786427018790477,1.30160123332918,0,0.96,0.01158999,0.039211754,7087.4126,2.3896134,2.9694748,0.2875443,0.07607496,0.07166306,0.15900888,0.006298339457093527,-0.0015946337440118452,5143.225783585859,-0.5525957082846173,0.7958139369703884,-0.18226706419596786,-0.005308733459046452,-0.006142922464695052,0.1871400354343187,19.20273876440841,0.9996618540390647,0.999675668801155,2.673765603946901,0.6808006036753378,3.170112676899204
479,33.32013402131624,0.24387324988044315,0.0,0.0,0.0,0.0,0.45167356292511096,0.024214312864486536,75973.83689878647,0,0,0.9297114917766003,5.475899937232611,-0.29177252824286404,5.1728576483451425,0,0.96,0.26718432,0.10602518,104753.63,3.000687,4.8014493,1.4782075,0.09830815,0.080929555,0.6291252,0.07294112976907421,-0.017307766898289993,2280.175038084262,-0.8863075995207436,1.3359029988964783,-0.10778071202846011,-0.012960050781533432,0.010518124300398687,0.06427236625513498,6.838227720177853,0.9977235006291939,0.9977819435950087,7.470429886457445,8.610909429878678,7.6652062237413805
572,27.076598576951504,0.24222991553722367,0.0,0.0,0.0,0.0,0.09111615206432744,-0.15727914454810646,71190.11338636857,0,0,2.4655389172027835,1.6852280823721812,0.1097219916721015,2.521975659213643,0,0.96,0.13370189,0.033672664,49822.645,2.884936,4.588489,1.0037184,0.038342852,0.031254157,0.5532988,0.009608618416152676,-0.007993051709526675,601.6347264529251,-0.022835840946328918,0.0755563913949407,-0.0028820965486625145,-0.0002447411324033318,-6.992293228509652e-05,0.03901524999137191,10.538112609060438,0.9985958833753958,0.9986414166305294,7.060053914129505,4.181745044571087,7.1118009439149965
632,27.59015624810757,0.24858437017516952,0.0,0.0,0.0,0.0,0.07538288931943699,0.10516705762182844,18499.96460680449,0,0,2.276984280077758,5.004572538989999,0.10116806233584219,3.2155577474231123,0,0.96,0.033276726,0.011686312,3094.425,1.9721318,2.362951,0.18516855,0.010440983,0.0077805803,0.12993225,0.011015679799052802,-0.007903936127440635,86.1220115357402,-0.037374125403008246,0.11420604519294228,-0.007523992789306349,0.001310104886210153,-0.0011842234980624232,0.03333066089317913,41.15507748996236,0.9990049468889265,0.9990356328580058,2.2620473371630125,0.3080104546942901,2.270713660604533
40,54.837993965194286,0.24677160083235652,0.0,0.0,0.0,0.0,0.34696282646672644,-0.04213577685957116,68401.29151470898,0,0,2.0483966516267405,5.853134253374392,-0.6410167451748658,4.047069187089909,0,0.96,0.7960239,0.03947916,16144.179,5.5878696,7.855884,0.27180213,0.062129457,0.039533094,0.28383398,0.004209654968548639,-0.012834805852900314,2178.136864379218,-0.2585385115718142,0.29630074685675567,0.022154491214191087,-0.005640928147143015,0.0028632696012174477,0.04170746761115551,10.973430843069492,0.9971894491355155,0.9972174463286653,6.81965077609266,1.3804232902818008,7.007487232621569
520,12.34244670437975,0.2299394635285916,0.0,0.0,0.0,0.0,0.06895002073324187,-0.08895806548210877,16864.635884898238,0,0,2.2282736205954743,3.0933374641237625,1.12065954942068,3.040423510646263,0,0.96,0.0056394734,0.032795805,4558.4307,0.8450491,1.5344653,0.23297444,0.02826373,0.010162828,0.18754977,0.0021225952721408837,-0.008475038863142593,112.40660678092416,0.09769364829553559,-0.13400553767787357,-0.0017739658560780305,-0.00016683592157803293,-0.00012530440031248877,0.021062997320371337,22.132115549288425,0.9994769744896007,0.9994974358811451,2.0963326935996043,0.4568413805999425,2.107796767874013
571,16.328950430129048,0.24695434070692432,0.0,0.0,0.0,0.0,-0.028175773942662623,-0.09456879240040944,20365.381888606447,0,0,1.4211137016985835,4.6747402558035365,0.02697017629890719,1.68907344294211,0,0.96,0.013939572,0.037914656,1672.7787,2.674706,3.3972313,0.08599678,0.034867056,0.02157469,0.088405386,0.004356994885727248,-0.006100881364752866,296.9393599602621,-0.00503274602928208,0.05141249531193671,-0.011865926527304914,0.0007396325981848856,-0.0002843958904997148,0.039686566897760484,16.968883083270928,0.9994660423217152,0.9994868342929479,2.448520748405273,0.16518533289444193,2.477976150991106
