index,Mc,eta,chi1x,chi2x,chi1y,chi2y,chi1z,chi2z,DL,tc,phic,iota,ra,dec,psi,gmst0,hybr,Mc_err,eta_err,DL_err,chi1z_err,chi2z_err,iota_err,ra_err,dec_err,psi_err,Mc_bias,eta_bias,DL_bias,chi1z_bias,chi2z_bias,iota_bias,ra_bias,dec_bias,psi_bias,snr,faith,inner_prod,z,z_err,z_bias
1057,25.37525595753382,0.24720723519702265,0.0,0.0,0.0,0.0,0.05600832480905087,0.008451560234546138,32534.364625720304,0,0,0.3530699778037595,3.6879487732484426,0.8676479647097035,5.158337442930686,0,0.98,0.03462038,0.009194048,42362.6,1.3500823,1.801621,3.5971487,0.013978142,0.007972583,0.16084653,0.0025119697678197216,-0.00666289199648934,2879.1194442570713,0.092130337515093,-0.07952370738275669,-0.32799083119075967,-0.007096357496916015,0.0002958702987501206,-0.004246601730179086,35.544777285371865,0.9997633274922526,0.9997710802590583,3.6172867542274605,3.760973086819902,0.2677008065798163
1547,15.671919589438986,0.24545041634691298,0.0,0.0,0.0,0.0,0.17350779013658787,0.03119442689012443,21746.039786161276,0,0,1.6876032537451622,3.2714003188554974,1.4383085466066992,2.551655476056161,0,0.98,0.014019244,0.04609427,2409.2273,2.1098406,2.8896506,0.05581837,0.20882899,0.025385443,0.23655894,0.002255460527013564,-0.004913858876169855,17.3707486828133,0.019550209990267617,-0.007148411975595513,-0.0001353277881653827,0.0025662273161273677,-0.00023338612440738663,0.002950197334260125,12.951678700243315,0.9998433249169599,0.9998489997933363,2.584987408887047,0.23536539508093535,0.0017092073289401988
1981,30.277239410398952,0.23732844741322998,0.0,0.0,0.0,0.0,0.015852278775288293,-0.24887932631366638,28107.583789933033,0,0,1.594117555419837,1.5034007323803347,-0.6604681162112582,2.9990519739387405,0,0.98,0.053280797,0.01031222,1197.5911,0.75094396,1.3978002,0.07778897,0.032634597,0.00903596,0.08382735,0.008731653106603982,-0.003517903000872055,57.21909653334706,-0.0007505334251117178,0.02823554157931185,0.0006240811394198894,-0.0012760814340366884,-0.00027427946490973733,0.0015388631550722971,26.826268184825416,0.9995618081052199,0.9995754771451868,3.199970181354235,0.11364773598551281,0.005443489099680843
345,74.3534563693756,0.23536515469210106,0.0,0.0,0.0,0.0,-0.08041503525964379,0.13443927706811296,31410.448534810726,0,0,2.1388565346906283,2.402080275596015,-0.33261487502768516,1.2438158627378568,0,0.98,0.22864698,0.0032341771,3301.7776,0.2646518,0.5345541,0.095929,0.019959338,0.016516862,0.06669741,-0.0071162256047345605,-0.0014460733967680062,-124.20850916801538,0.0574391736603426,-0.09361404452756361,-0.002783598027366714,-0.0008039649314423701,-0.0006064192848798438,0.016449405209794918,49.361625025608504,0.9997565870899455,0.9997521132762387,3.5120301099104276,0.3079986828569288,-0.011659946374902308
1335,24.31950870231313,0.24775984294595227,0.0,0.0,0.0,0.0,0.0027957975311675323,0.08069997336290402,33332.61012233056,0,0,0.49610989728307564,4.388664062344038,0.7117195083512158,2.0861524102599707,0,0.98,0.030069023,0.009921783,26477.373,1.4830698,1.90761,1.539291,0.013922354,0.00580032,0.16709809,0.0027380267487514434,-0.004142470867826611,78.14898122946045,0.10446396765945806,-0.09179339903066674,0.08778240135412294,-0.003748239223390451,-0.0011164625335360063,0.00721577955152917,37.92397711646449,0.9998018921307193,0.9998084796492748,3.691778602119839,2.3812544964736815,0.007281319691261334
818,70.27126342922686,0.2494500087839489,0.0,0.0,0.0,0.0,0.0020052361572400227,-0.060215065976517435,60441.9869260082,0,0,1.851248435992035,1.1512382998377044,0.7281939755635252,4.18371632783522,0,0.98,0.47061497,0.018954167,6758.1978,6.551642,7.480738,0.05444913,0.08214064,0.19919384,0.11475219,0.023809740332610782,-0.0016604488275264973,194.29993980187672,0.31659662394130084,-0.35230680830203026,0.0003958486098471761,-0.004864128461035742,-0.012415125803467196,-0.005034506169219755,13.975590456934526,0.9994960656326675,0.9994932547460975,6.128292223989906,0.587540601871857,0.01697726344216033
74,12.899032185985826,0.22925834740205903,0.0,0.0,0.0,0.0,0.3294612440450402,-0.06697331437666099,11792.768526345875,0,0,1.8260314218427611,3.038545995566192,-1.1199602906214443,2.64930523663086,0,0.98,0.0043617547,0.026631672,697.105,0.45547467,0.9073169,0.031483684,0.031427514,0.011172961,0.03212364,0.00197135600638539,-0.006976660973382337,16.869386417327107,0.03196306660858319,-0.04463850958068416,3.4331187882319754e-06,0.00044848746592694033,2.204076387625103e-05,0.0003793916142128797,24.64852543005411,0.9997665979650456,0.9997752782913356,1.5650558515187125,0.07491825300029276,0.0018215489752284597
1358,10.32793215184483,0.24602216483250947,0.0,0.0,0.0,0.0,0.009924607872428623,-0.21728143094714,11663.085888689762,0,0,0.8696938466628702,4.931775129577913,-0.7864859208208842,1.5704480299646768,0,0.98,0.0035265991,0.020919852,3295.0166,1.3421309,1.8153833,0.283761,0.02863433,0.028420346,0.15989287,0.00206084583870413,-0.007175815608897929,1432.040838808131,-0.03887798641148744,0.07874766651393927,-0.11443325918491572,-0.009314994114547453,0.009116835115468907,0.10701701298061592,20.389808226314734,0.999917800452255,0.9999212761378661,1.551038025846564,0.34901762367068123,0.1534229825471507
1857,12.976472435461796,0.23475258398132123,0.0,0.0,0.0,0.0,0.06634305634285335,0.15965880738599847,15220.53641817262,0,0,0.6695279586780507,1.8503294962573404,-0.46892818195468355,4.870028449750004,0,0.98,0.0041137054,0.013348708,7899.922,0.45911342,0.7707823,0.7068573,0.008924292,0.0053838654,0.14220099,0.0013426596815251652,-0.0037194652291806123,1183.9479512399214,0.033844219290725765,-0.02484757460079409,-0.06267179867938379,0.001473698351311159,0.0004048090488803147,0.04500633580419839,41.8043521362674,0.9999268171399076,0.9999295248636199,1.9272903173981784,0.7923739517266621,0.1219926641989677
1324,14.004943393323137,0.24959403460577917,0.0,0.0,0.0,0.0,0.09999871788123789,0.5398805509208953,17994.827044556667,0,0,1.0435516152149722,5.208251853901342,-0.35142238812903814,5.875718946976056,0,0.98,0.018427951,0.038757864,7421.8706,14.570118,14.876192,0.3475681,0.03496148,0.03447729,0.3115583,0.0022216754915690613,-0.0013284176492821557,788.9082280740433,-0.6910203242407361,0.8157396544600444,-0.013471227813343692,-0.004240133831527317,0.004161749680469301,0.059551649236885135,12.224062857942492,0.999890812400998,0.9998946610871464,2.21109763187454,0.731229334833829,0.07948321796726177
