Mc,eta,DL,M_tot,q,full_faith,snr,Mc_full_bias,Mc_stat_err,Mc_max_lam,Mc_min_faith
3.5961645605880577,0.24392148371552716,1000.0,8.384738547394736,1.3694708282725143,0.9992788393573692,131.2692877257237,4.655752999299602e-05,1.0683926417382951e-05,0.31622776601683794,0.9995971517773311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5896761583457213,0.24318843018840042,1000.0,8.384738547394736,1.3953945281590392,0.9992904617386019,131.06256785647992,4.602108967840862e-05,1.0641957939200591e-05,0.31622776601683794,0.9995964130092719
3.5524285891199368,0.23899733183247412,1000.0,8.384738547394736,1.5309638371166299,0.9993411324748126,129.87561090146082,4.334760740755443e-05,1.0402934395599558e-05,0.31622776601683794,0.9995947622645451
3.205433628538489,0.20137031051050006,1000.0,8.384738547394736,2.578091536297789,0.9992177732835132,118.79023543094138,2.790583755304303e-05,8.327272498499868e-06,0.31622776601683794,0.9996748433864541
3.2687730544653104,0.20804569830935846,1000.0,8.384738547394736,2.3878493919569013,0.9992739211010205,120.81829216186836,2.9985623036677566e-05,8.686257655708436e-06,0.31622776601683794,0.9996554153522039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6096070939594633,0.2454430151943124,1000.0,8.384738547394738,1.312167825743071,0.9992517734021295,131.69752589701577,4.7633194267763385e-05,1.0771140060458397e-05,0.31622776601683794,0.999599146158945
3.2134784976835546,0.2022133335751853,1000.0,8.384738547394736,2.5536806751672834,0.9992250835939379,119.04795856364927,2.8163159742556254e-05,8.372359660033478e-06,0.31622776601683794,0.9996723560014801
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4924660176320983,0.23231171275611107,1000.0,8.384738547394736,1.7247757460395372,0.9993780276820492,127.96381776773163,3.965843949300615e-05,1.0024854842792475e-05,0.31622776601683794,0.9995994895556449
3.648681085731879,0.24988717496315263,1000.0,8.384738547394736,1.0434098433645438,0.9991462189709399,132.94201592562308,5.11316292342843e-05,1.1027247127931926e-05,0.31622776601683794,0.9996089382095368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.509673935092391,0.23422257018821335,1000.0,8.384738547394736,1.6709989516536767,0.9993720582485279,128.5125916475808,4.058685438332419e-05,1.013258006791716e-05,0.31622776601683794,0.9995973638408604
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.503495843358113,0.2335358020800964,1000.0,8.384738547394736,1.6904349787230828,0.9993745945907243,128.31558016563844,4.0287990469741125e-05,1.0093779488420611e-05,0.31622776601683794,0.9995980605840457
3.4268543264022266,0.22508343295584846,1000.0,8.384738547394734,1.9226932240232295,0.9993751689599755,125.87034264448762,3.627486824308947e-05,9.620650978673427e-06,0.31622776601683794,0.999611786180046
3.231513794836445,0.20410837040710422,1000.0,8.384738547394734,2.499235801470442,0.9992413400259639,119.62558617871511,2.8759584356606777e-05,8.47401303382559e-06,0.31622776601683794,0.9996667925205653
3.560390198462446,0.23989072278682877,1000.0,8.384738547394736,1.5034102799023574,0.999332427386658,130.1293583716693,4.39011498589158e-05,1.0453722632513486e-05,0.31622776601683794,0.9995947646726795
3.5720768985556792,0.24120452881875387,1000.0,8.384738547394736,1.4617455414824017,0.9993175699812833,130.50179237605045,4.47384989990206e-05,1.0528567482939429e-05,0.31622776601683794,0.9995951195182553
3.3452387675967015,0.21622006499290777,1000.0,8.384738547394738,2.162487188426019,0.999333574974672,123.26359613175818,3.272706643251655e-05,9.131381532429578e-06,0.31622776601683794,0.9996328852866901
3.1662292240680294,0.1972822656322071,1000.0,8.384738547394734,2.698271743471821,0.9991817893971581,117.53370032413297,2.670965766631578e-05,8.109419283591816e-06,0.31622776601683794,0.9996870026147777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6381781905131154,0.248689472897503,1000.0,8.384738547394736,1.1561073607412666,0.9991790080910362,132.60754376191557,5.01536856120193e-05,1.095802545029469e-05,0.31622776601683794,0.9996056706045787
3.612566105013412,0.24577844737726978,1000.0,8.384738547394736,1.2987104131001626,0.9992452378765497,131.7917839367117,4.7807243692882576e-05,1.0790456562053422e-05,0.31622776601683794,0.9995996738719081
3.6496681977706893,0.24999985900643412,1000.0,8.384738547394736,1.0015030931946287,0.9991429618633665,132.97344973271336,5.11668307284106e-05,1.1033791227792755e-05,0.31622776601683794,0.9996092687304733
3.1854093511568133,0.1992780857520631,1000.0,8.384738547394738,2.6392123061888415,0.9991994495611362,118.1485648570931,2.7285392406121588e-05,8.215571809320801e-06,0.31622776601683794,0.9996810482779253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.634364009859956,0.24825509108610413,1000.0,8.384738547394736,1.1823202276262386,0.9991900389382122,132.48607125096652,4.981857301728198e-05,1.0932976090268014e-05,0.31622776601683794,0.9996046088269819
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3112568432906544,0.21257176233329853,1000.0,8.384738547394736,2.262257326280758,0.999308670711337,122.17727275406442,3.144458670876254e-05,8.931928279384229e-06,0.31622776601683794,0.9996427073972576
