Mc,eta,DL,z,m1,m2,M_tot,q,snr,DL_stat_err,z_stat_err,inspiral_t,eta_full_bias,eta_stat_err,full_inner_prod,lam_0,lam_1,lam_2,lam_3,lam_4,lam_5,lam_6,lam_7,lam_8,lam_9,lam_10,lam_11,lam_12,lam_13,lam_14,lam_15,lam_16,lam_17,lam_18,lam_19,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6,bias_7,bias_8,bias_9,bias_10,bias_11,bias_12,bias_13,bias_14,bias_15,bias_16,bias_17,bias_18,bias_19,inner_0,inner_1,inner_2,inner_3,inner_4,inner_5,inner_6,inner_7,inner_8,inner_9,inner_10,inner_11,inner_12,inner_13,inner_14,inner_15,inner_16,inner_17,inner_18,inner_19
3.1173413178000744,0.00980296049406921,959.1808286096203,0.1905477602783214,49.50495049504949,0.4950495049504953,49.999999999999986,99.99999999999991,99.99999999999997,24.321180371340716,0.00433900647286789,1316.5557301654846,-8.128110949900913e-06,8.061877745797125e-07,0.4584598654670979,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,2.715764396247535e-10,1.0811887259999685e-06,9.649333212792294e-08,4.460905468939012e-06,1.0487342970049655e-05,1.4880176763898501e-05,1.4574042836181718e-05,8.88531952022764e-06,3.711912932080063e-07,6.385806870057714e-06,7.5245475875677235e-06,2.4909815077575637e-06,5.32255858603198e-06,1.049390816135346e-05,8.94116978409018e-06,6.014672932048193e-07,1.0326753336392066e-05,1.774647061497728e-05,1.7149391333545045e-05,8.128110949901733e-06,0.9999999997923851,0.9942731563240742,0.9774656473461646,0.9506847884180546,0.9156652000147042,0.874573259407915,0.8297698258927013,0.7835659104726166,0.7380071117645702,0.6947175062069071,0.6548220975235467,0.618950391345823,0.5873060954015695,0.5597750139183193,0.5360395426192066,0.5156744332473638,0.4982110165340582,0.4831704163385974,0.4700760764586986,0.4584598654670858
4.201460088721092,0.01612069384020993,1235.2600652641743,0.23879661556119927,49.18053484519057,0.8194651548094317,50.0,60.015407069538675,100.0,31.33558671086896,0.0053459083250634865,801.1442987881312,3.3163473802621846e-05,2.129571095310116e-06,0.6786923509172925,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,3.28338542225954e-10,1.6567341297196064e-06,2.421847186572125e-06,1.4438465268899335e-06,1.5153957340015864e-06,5.922151101053492e-06,1.054297496742607e-05,1.3739378491398716e-05,1.3917156336393263e-05,1.0017579849301775e-05,1.919656480779493e-06,9.362821024159218e-06,2.1760735204154746e-05,3.2511143429060425e-05,3.873507980056091e-05,3.8106655415743695e-05,2.9456669361038843e-05,1.315914271825082e-05,8.807840716032909e-06,3.316347380261808e-05,0.9999999999462742,0.9985124455484133,0.9940754784078465,0.9867693711993929,0.9767299859575401,0.9641443577303076,0.9492445865635863,0.9323002629072188,0.9136097160781608,0.893490433530576,0.8722690475600772,0.8502713220934144,0.8278125908175881,0.8051890937140891,0.7826706265621298,0.7604948527530041,0.738863527328546,0.7179407528813644,0.697853235390335,0.6786923509172894
5.633559168203873,0.026283796300990113,1587.0930806218757,0.29748910870086626,48.64932365306722,1.3506763469327803,50.0,36.01849085722412,99.99999999999999,40.246130964970725,0.006540883863740854,491.9100488144711,-0.00013569078339438349,5.481995863901956e-06,0.8689776365597813,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,3.5476857130123456e-10,1.9186758851928427e-06,3.6223158986718046e-06,4.6851750924850936e-06,4.817413045788658e-06,3.936733671900587e-06,2.2109286348964046e-06,6.4964971623093e-08,1.8498563048759673e-06,2.7225419468369678e-06,1.6782682801985325e-06,2.106918102014833e-06,9.285655676718476e-06,2.0227475244097976e-05,3.492976443427928e-05,5.296370200837748e-05,7.346404082831054e-05,9.516716360487542e-05,0.00011649670745072371,0.00013569078339437123,0.999999999984692,0.9995757621676701,0.9983048038160118,0.9961928785244406,0.9932505001088747,0.9894928482798366,0.984939630197557,0.9796148991302845,0.9735468318888135,0.9667674671611264,0.9593124073188637,0.9512204867094776,0.9425334098810858,0.9332953636075085,0.9235526069840344,0.9133530442444744,0.9027457852999508,0.8917806993112456,0.880507966869185,0.8689776365597781
7.490816753007313,0.04226023891250191,2030.5630679126957,0.3678819062411366,47.78923874811847,2.210761251881509,49.99999999999998,21.616643908267598,99.99999999999996,51.4481827185707,0.007945908592477735,306.47513040678973,3.4449785503257255e-05,1.3618524511733946e-05,0.934628788886467,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,4.0082063259840424e-10,2.2248903974370125e-06,4.564210249660054e-06,6.839460270883114e-06,8.86445015950703e-06,1.04492884739028e-05,1.140717550131775e-05,1.1564891679586545e-05,1.0776787793399247e-05,8.941345232958697e-06,6.0186824538952844e-06,2.0468346735825972e-06,2.845687068977847e-06,8.433581177682604e-06,1.4396914891399906e-05,2.033337275609312e-05,2.5781312855267845e-05,3.0253245773463264e-05,3.3278142529480706e-05,3.4449785503237306e-05,0.9999999999930519,0.9998074221697171,0.9992299667416312,0.998268500332332,0.9969247778803436,0.9952014350430263,0.993101977000615,0.9906307637316885,0.9877929918505222,0.9845946731153086,0.9810426097339451,0.9771443666109665,0.972908240695027,0.9683432276010995,0.9634589856951296,0.9582657978411745,0.9527745310220408,0.9469965940539925,0.94094389362423,0.9346287888864551
9.827458335944282,0.06644342505714412,2578.7228854879736,0.4505467613913249,46.421751500685914,3.578248499314073,49.999999999999986,12.973316836319407,99.99999999999999,65.25105502031917,0.009571384628782542,195.44087708110075,0.00037776017580281283,3.221167186363563e-05,0.9296481626545009,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,7.383498155519472e-10,4.1444658631391415e-06,8.95339478737214e-06,1.4558052173812598e-05,2.0867199941258146e-05,2.747444092518253e-05,3.360968067917306e-05,3.814558266265365e-05,3.966258975081035e-05,3.6568966096269776e-05,2.7265442487425828e-05,1.0338203531646379e-05,1.524019628206197e-05,4.992437527934711e-05,9.344606635585881e-05,0.00014471954746214741,0.0002018166767824665,0.00026201906196359403,0.0003219473768341216,0.0003777601758026862,0.999999999991471,0.9997638137786844,0.9990571527665617,0.9978850279029323,0.996255619528014,0.994180144356171,0.991672678343167,0.988749938272073,0.9854310255588171,0.9817371364263678,0.9776912432158783,0.973317752182002,0.9686421436432521,0.9636906008092772,0.9584896339656649,0.9530657069424576,0.9474448729039094,0.9416524264545286,0.9357125788434982,0.9296481626544851
12.6243635292308,0.10086313886857928,3232.9589382913327,0.5443424205891617,44.30912097503538,5.690879024964604,49.99999999999998,7.785988909738064,100.0,81.67016089443115,0.011399302813526857,129.22825342430565,0.0013795894056408981,7.103456733406788e-05,0.8942298951298943,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,2.3899576059065983e-08,0.00012381065355196474,0.00022142739751179318,0.00026672215102564473,0.0002497170126842443,0.00018030808892118087,8.536907942774483e-05,3.601833721729453e-08,4.471367979476046e-05,3.289637429739183e-05,2.852079116809087e-05,0.00010973426852031428,0.00016542894484125408,0.00014813965030557267,2.394115461759952e-05,0.00021415584369095016,0.0005393981565723471,0.000893752640421604,0.001199811355843058,0.001379589405640539,0.9999999999406551,0.9983642690716735,0.9935620385284225,0.9858981672385426,0.975860972743006,0.9640924206573308,0.9513454973505022,0.9384289684749018,0.9261413882114425,0.915198833594747,0.9061639212149984,0.8993861260535556,0.8949638246123542,0.8927358166509802,0.8923046318475819,0.89308748323462,0.8943856840868474,0.8954613245878178,0.8956110701401451,0.8942298951298738
15.709400373886758,0.14520536853791083,3965.377827474967,0.644510601431641,41.18599946420433,8.814000535795667,49.99999999999999,4.672792938568427,99.99999999999999,100.06374101759924,0.013354881349687875,90.19802899956426,0.003585592698752419,0.00014153769547585725,0.8595639995528126,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,5.022415689847164e-09,3.0253320389187236e-05,7.299061476290333e-05,0.00013315497366022354,0.00021071551680694684,0.0002992011059924967,0.00038546014265658946,0.0004507488071810485,0.0004730137704666527,0.0004300270082320931,0.0003028803486133944,7.928077901342336e-05,0.00024388537219669718,0.0006591364131414553,0.0011483626648956385,0.0016841955001785634,0.002232581083672587,0.0027561839597056016,0.0032181331810850105,0.003585592698751735,0.9999999999709761,0.999197473263118,0.9968125941982487,0.9929116619039536,0.9876027865353053,0.9810314243678026,0.9733742752392242,0.9648317276935566,0.9556191166160312,0.9459571494511522,0.9360619532191883,0.9261352827190743,0.9163554926926865,0.9068698931079079,0.8977890592878012,0.8891835479990534,0.8810832811879453,0.8734796211038053,0.8663299075824159,0.8595639995527894
18.678016776138673,0.1937616963574256,4692.410789818861,0.7400034990667448,36.857308257207265,13.142691742792712,49.99999999999998,2.8043957035984923,100.00000000000001,118.44125407040255,0.015243091046829416,67.95158562676704,0.006726007957598078,0.00024491587595363364,0.8414201821846257,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,7.57569768513729e-09,4.9457415456245074e-05,0.0001299822446359949,0.0002534327649538464,0.0004194414996275108,0.0006123554318113586,0.0008012947312378144,0.0009434421529166664,0.0009900591436268142,0.0008942114916154276,0.0006188639139235908,0.00014392687891145181,0.000528979316950558,0.0013748764147176271,0.0023471852352929456,0.0033825934250523645,0.0044082230621152125,0.005349929704890459,0.006140424769253178,0.006726007957597151,0.9999999999605821,0.9989106174332383,0.995680672895871,0.9904225861598792,0.9833193565332164,0.9746160229376302,0.964607889921147,0.9536258379606953,0.9420192366585864,0.930137236632186,0.9183095065828755,0.9068277563206308,0.8959295704474508,0.8857860877603744,0.8764948333706362,0.8680785297549866,0.8604900368791899,0.8536228240768252,0.847325712604485,0.8414201821846067
20.90609538213904,0.23379660761286927,5257.896855943265,0.8120818691586157,31.36462732356159,18.635372676438404,49.99999999999999,1.6830694973552844,99.99999999999999,133.02234909082694,0.016711896610913213,56.5607628037291,0.009589695892559636,0.00035197567113849594,0.8372306412398193,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,5.653445147371243e-09,4.4648300974854845e-05,0.0001397704797115578,0.00030664773278473237,0.0005467762712967374,0.0008369943789208363,0.0011297056945438963,0.0013583276936823914,0.0014470855304286063,0.001323438770375851,0.0009309226401536864,0.0002400979345304759,0.0007443548046653543,0.001981662029746485,0.0033984508709522833,0.004897093016798673,0.006367455914410385,0.007700078313258384,0.008798623820758288,0.009589695892558422,0.9999999999549218,0.998754668368517,0.9950672730531519,0.9890801630327944,0.9810242982513087,0.9712081697844429,0.9600023954988445,0.9478203264098336,0.9350952952723827,0.9222555492541944,0.9096983964438574,0.8977655718534094,0.8867221519719624,0.8767413574065867,0.8678971611463299,0.8601657561049857,0.8534357688289596,0.8475258967441277,0.8422076837449249,0.8372306412398034
21.7634343350634,0.24999368702810534,5480.242866381382,0.8399671930348361,25.125628140703583,24.874371859296406,49.99999999999999,1.0101010101010157,99.99999999999999,138.77352562338544,0.017284155626550057,52.98919799884042,0.010900509424662311,0.0004012536056747071,0.8354761127444268,1e-05,0.05264105263157895,0.10527210526315789,0.15790315789473686,0.2105342105263158,0.26316526315789474,0.3157963157894737,0.3684273684210526,0.4210584210526316,0.47368947368421055,0.5263205263157894,0.5789515789473684,0.6315826315789473,0.6842136842105263,0.7368447368421052,0.7894757894736841,0.8421068421052631,0.8947378947368421,0.947368947368421,1.0,3.014865774580969e-09,3.2817609475866566e-05,0.00012685846863645048,0.00031099153159432416,0.0005891997179450995,0.000934295463753107,0.0012882581126598784,0.0015693259430726234,0.001684632077333356,0.001546076640801078,0.0010864874324374046,0.00027305783423213145,0.0008844322740013408,0.00233211982838377,0.003977537392771737,0.005701043236055312,0.007371130455111124,0.008860917972544386,0.01006303076267636,0.010900509424661087,0.999999999951149,0.9986508900145119,0.9946605824195756,0.988195379627252,0.979524143217689,0.9690047305019978,0.9570650930762326,0.944179445746726,0.9308403246232728,0.9175279290594626,0.90467882387854,0.892656722520883,0.8817284593896314,0.8720481546965152,0.8636518290161328,0.8564633822263529,0.8503111858649842,0.844952970217281,0.8401056171919736,0.8354761127444106
