Mc,eta,DL,z,m1,m2,M_tot,q,full_faith,snr,inspiral_t,eta_full_bias,eta_stat_err,eta_max_lam,eta_min_faith,eta_max_lam_index_first,full_inner_prod,eta_min_inner_prod
0.623468263560015,0.009802960494069209,98.56025969931717,0.021879939494875718,9.9009900990099,0.09900990099009908,9.999999999999998,99.9999999999999,0.5531517576849934,300.0,19634.45458960233,2.3555597345711626e-06,1.1030753452531704e-07,0.0049569908149876074,0.9998690358185865,4,0.05141409965372359,0.9998697352583811
0.8402920177442185,0.01612069384020993,126.51006890228335,0.027958840643297882,9.836106969038116,0.16389303096188637,10.000000000000002,60.015407069538675,0.671721619959456,300.0,11942.073770086994,7.599774341151095e-06,2.923411275121838e-07,0.0032074646449919814,0.9999581811187055,4,0.035006672846105806,0.9999559009984552
1.1267118336407744,0.026283796300990113,161.76241688717116,0.03555168993222968,9.729864730613443,0.270135269386556,9.999999999999998,36.01849085722412,0.7857858736712644,299.99999999999994,7326.827516005107,-6.528362344385738e-05,7.528747285438656e-07,0.003790640034990523,0.9999751325026277,4,0.11479883204034269,0.9999729244405989
1.4981633506014629,0.04226023891250192,205.51969049385175,0.044865710522391994,9.557847749623697,0.44215225037630196,9.999999999999998,21.616643908267598,0.8860488374420823,300.0,4559.247033013126,-4.779708885226062e-05,1.856143501842807e-06,0.006998104679982505,0.9999771584969658,4,0.5797476712261466,0.9999752953534271
1.9654916671888565,0.06644342505714412,258.400104069656,0.05596592451163895,9.284350300137184,0.7156496998628147,9.999999999999998,12.973316836319407,0.9640467547693986,299.99999999999994,2902.068390660154,0.0003082554885412807,4.296987228317091e-06,0.01662049861495845,0.9999650528364298,4,0.8756309785789429,0.9999629596289854
2.52487270584616,0.10086313886857924,319.5279783511845,0.06859677608128303,8.86182419500708,1.1381758049929207,10.0,7.785988909738069,0.9945040629558101,299.99999999999994,1913.830499848357,0.0003396907443862635,9.127030293836984e-06,0.04155124653739612,0.9999163360183478,4,0.9577021593646252,0.9999151881807518
3.141880074777352,0.14520536853791083,385.1458432882815,0.08193054453250899,8.237199892840865,1.7628001071591335,9.999999999999998,4.672792938568427,0.9987627601924918,300.0,1331.272728381191,0.0003325405446495651,1.7303656219428904e-05,0.15789473684210525,0.9990721865583873,4,0.9740758384521598,0.9990902193071164
3.7356033552277346,0.19376169635742552,447.19385147061007,0.09433792488217393,7.371461651441456,2.6285383485585414,9.999999999999998,2.804395703598495,0.9988451225229287,300.0,999.2037878975925,0.0004655330587776637,2.8352184161968667e-05,0.2631578947368421,0.9990699615039492,4,0.9761875279286367,0.997430046726121
4.181219076427808,0.23379660761286927,493.3908212657336,0.10345577277595323,6.272925464712317,3.7270745352876804,9.999999999999998,1.6830694973552847,0.9991864447661415,299.99999999999994,829.1598507129605,0.0007267601463273507,3.888029392622988e-05,0.2631578947368421,0.9988120503223478,4,0.9755913863363045,0.9972537695465777
4.352686867012681,0.24999368702810534,511.12868577287077,0.10693055093405088,5.025125628140716,4.974874371859281,9.999999999999998,1.010101010101016,0.9989569414391729,300.00000000000006,775.83933558153,0.0009178877594745159,4.348551520633691e-05,0.1994459833795014,0.9982232390238229,4,0.9742282625089383,0.9982618568671687
