Mc,eta,DL,z,m1,m2,M_tot,q,full_faith,snr,inspiral_t,Mc_full_bias,Mc_stat_err,Mc_max_lam,Mc_min_faith
5.58478987905599,0.20688238371474335,1000.0,0.19781979248496245,10.171614748902273,4.202222760917273,14.373837509819547,2.420532020221123,0.9982036811290916,185.52231671199146,512.2346095026336,0.0003267648659592702,2.499983653781434e-05,0.006858710562414266,0.999788775973367
5.494184715333159,0.20131874246017412,1000.0,0.19781979248496245,10.358337766084679,4.015499743734873,14.37383750981955,2.5795887005711133,0.9980875082515053,182.8562615320961,526.2699567544984,0.0003111094450190296,2.418890397302001e-05,0.2597165066300869,0.998086850031951
5.0754083560503735,0.17639939808059513,1000.0,0.19781979248496245,11.086459065141957,3.28737844467759,14.373837509819548,3.372431635637029,0.9976596381123285,170.52696721669784,599.9975004147926,0.00024358918976640615,2.063259459166467e-05,0.2674897119341564,0.9985715076265232
5.448308128922068,0.19852485316081625,1000.0,0.19781979248496245,10.448074409426615,3.9257631003929365,14.373837509819552,2.6614123527680134,0.9980308328733845,181.50627708740055,533.614801259619,0.00030313377657743465,2.3784084588553e-05,0.2600213382106386,0.9981346889092193
6.229399056943945,0.24819271865638567,1000.0,0.19781979248496245,7.797981228488945,6.575856281330602,14.373837509819547,1.185850312852496,0.9984623473181256,204.50394319373558,427.70406710670045,0.00047233335862687073,3.121480485044403e-05,0.252400548696845,0.9973105955457678
6.202012317048921,0.2463768068513814,1000.0,0.19781979248496245,8.052122666561209,6.3217148432583405,14.37383750981955,1.2737244349368628,0.9985162231027565,203.69642664698452,430.8241709507458,0.00046363547227037407,3.093416513567422e-05,0.25377229080932784,0.9973523111084152
6.248094612924557,0.24943541242849696,1000.0,0.19781979248496245,7.528456249176137,6.845381260643416,14.373837509819552,1.0997862591613365,0.9984178644032514,205.05527349503967,425.59505149719894,0.00047852541681852484,3.1407158182715244e-05,0.252400548696845,0.9973107715614967
6.120816681402999,0.24102443263696197,1000.0,0.19781979248496245,8.548688516653906,5.825148993165645,14.37383750981955,1.4675484741563953,0.9986121191795402,201.3030827728811,440.29416083783997,0.0004394302778192244,3.0111522169623e-05,0.2565157750342935,0.9974551911259182
5.698356367268734,0.21394137933605742,1000.0,0.19781979248496245,9.91638222285202,4.457455286967528,14.373837509819548,2.2246734031959923,0.9983504332754412,188.8640760223267,495.47764986801275,0.00034728753567269234,2.60375852350086e-05,0.25925925925925924,0.9978827687316993
6.250754539096595,0.2496124194389441,1000.0,0.19781979248496245,7.4698974402176335,6.903940069601912,14.373837509819547,1.0819759970263407,0.9984109742106987,205.13371981772767,425.2963558945727,0.0004795612016306105,3.1434510386301125e-05,0.252400548696845,0.9973109563005635
6.153712601489642,0.24318724754317542,1000.0,0.19781979248496245,8.373326670349257,6.000510839470289,14.373837509819547,1.3954356377912043,0.9985835264513617,202.27259876876028,436.4172861392627,0.0004488140889208293,3.0443227597882787e-05,0.2551440329218107,0.9974036017728224
6.2557521219509535,0.24994512358556806,1000.0,0.19781979248496245,7.293398154762344,7.080439355057206,14.37383750981955,1.0300770600560305,0.998397681272241,205.28111175228946,424.7360696484899,0.00048126782229580443,3.148610491446378e-05,0.252400548696845,0.9973113993576462
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9269273246802303,0.11502711342795943,1000.0,0.19781979248496245,12.467673512788782,1.9061639970307687,14.37383750981955,6.540713984845834,0.9966374695733112,136.4711563313514,917.7991092862302,0.00011005020182135205,1.2438074304488215e-05,0.31961591220850477,0.9995029448058712
5.715409207429439,0.21500950787384768,1000.0,0.19781979248496245,9.87565224324875,4.498185266570799,14.373837509819548,2.195474765488589,0.998371793347136,189.36589827886053,493.0379246802853,0.00035047019175125926,2.61954100416119e-05,0.25925925925925924,0.9978661462328454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.030384620021972,0.2351186804755939,1000.0,0.19781979248496245,8.940369019405049,5.4334684904145005,14.373837509819548,1.6454257598396451,0.9986355950314755,198.6387001213237,451.2436069357554,0.00041625153141336847,2.9210429137614668e-05,0.2578875171467764,0.9975467837583926
4.78619220011788,0.1599664865020048,1000.0,0.19781979248496245,11.4998727957529,2.8739647140666458,14.373837509819547,4.001396655799798,0.9974496493856221,161.99584010931338,661.1854743324018,0.00020261604164990507,1.8356842209648127e-05,0.27572016460905346,0.9988767432659856
5.009863295245682,0.17261899107631423,1000.0,0.19781979248496245,11.18535269273223,3.1884848170873195,14.37383750981955,3.5080464027268126,0.99761003562192,168.5951564077949,613.0420644321439,0.00023392675504585448,2.010403247427742e-05,0.2688614540466392,0.9986377898219408
4.332641164426113,0.13550853528168616,1000.0,0.19781979248496245,12.05053484730231,2.3233026625172406,14.37383750981955,5.186812308924854,0.9973536785260716,148.5656973753222,779.7363963633751,0.00014859275637754395,1.5077803246825504e-05,0.2949245541838134,0.9992982484946794
5.694230383915443,0.21368326236132387,1000.0,0.19781979248496245,9.926133907007502,4.447703602812046,14.373837509819548,2.2317435677889454,0.9983452022828465,188.7426604715792,496.0708773230422,0.00034652593394879534,2.5999391304525796e-05,0.25925925925925924,0.9978867935262393
5.829459451532806,0.2222077786786038,1000.0,0.19781979248496245,9.583181086385332,4.790656423434214,14.373837509819547,2.000389975684285,0.9985043551001733,192.7225169399624,477.20794627391626,0.00037251377606253616,2.726536544152566e-05,0.25925925925925924,0.9977554872620686
